Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
titanic,1,1,weka.classifiers.lazy.IBk,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08019E+18,2.02E+07,1982,221,178,43,0,80.54298643,19.45701357,0,0.489278229,0.198041295,0.305624149,67.6888611,79.86531137,201.5633873,140.779605,60.7837823,0.912051526,0.637011787,0.275039739,70.28430943,0.318028549,7655.516696,0,0,0,0,1,221,0,0,0,0,0,0,NaN,NaN,0.805429864,0.381119648,0.618880352,0.194570136,0.827083985,0.805429864,0.782534151,0.544693731,0.797725578,0.806459135,0.734886316,0.805429864,0,0.069,0,0.078125,0,78.125,125049,122525,15104,100,63.95173454,?
titanic,1,2,weka.classifiers.lazy.IBk,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08019E+18,2.02E+07,1982,221,171,50,0,77.37556561,22.62443439,0,0.373156342,0.212033944,0.332025157,72.25814113,86.47790878,210.7253913,181.3766054,29.34878588,0.953508558,0.820708622,0.132799936,59.80183234,0.270596526,6545.241413,0,0,0,0,1,220,1,1,0,0,0,0,0,0.004524887,0.773755656,0.468200101,0.531799899,0.226244344,0.826076082,0.773755656,0.729336434,0.477744923,0.714046003,0.738737531,0.443146706,0.773755656,0.001,0.058,0,0.0625,0,62.5,139881,122525,15104,99.54751131,64.1025641,?
titanic,1,3,weka.classifiers.lazy.IBk,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08019E+18,2.02E+07,1982,220,175,45,0,79.54545455,20.45454545,0,0.439029918,0.204628554,0.31573265,70.09424945,82.71118746,199.931131,146.7125658,53.21856512,0.908777868,0.666875299,0.241902569,64.09736133,0.291351642,6978.889096,0,0,0,0,1,220,0,0,0,0,0,0,NaN,NaN,0.795454545,0.429257362,0.570742638,0.204545455,0.842900656,0.795454545,0.76142614,0.530334364,0.767087121,0.780491566,0.702443569,0.795454545,0.001,0.029,0,0.03125,0,31.25,139950,122525,15104,100,63.78787879,?
titanic,1,4,weka.classifiers.lazy.IBk,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08019E+18,2.02E+07,1983,220,171,49,0,77.72727273,22.27272727,0,0.399777283,0.209411429,0.326381573,71.73259384,85.50084194,199.931131,156.6430647,43.28806631,0.908777868,0.71201393,0.196763938,60.00447732,0.272747624,6533.257903,0,0,0,0,1,220,0,0,0,0,0,0,NaN,NaN,0.777272727,0.437921182,0.562078818,0.222727273,0.796562998,0.777272727,0.745534465,0.462311517,0.769023537,0.781454948,0.685154356,0.777272727,0,0.032,0,0.046875,0,46.875,125254,122586,15043,99.54545455,64.09090909,?
titanic,1,5,weka.classifiers.lazy.IBk,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08019E+18,2.02E+07,1983,220,173,47,0,78.63636364,21.36363636,0,0.414097915,0.207219823,0.321493786,70.98187275,84.22040857,199.931131,150.8894757,49.04165524,0.908777868,0.685861253,0.222916615,62.13755644,0.282443438,6765.506507,0,0,0,0,1,220,0,0,0,0,0,0,NaN,NaN,0.786363636,0.44096237,0.55903763,0.213636364,0.826996972,0.786363636,0.750822857,0.500217286,0.776207581,0.78440716,0.689218839,0.786363636,0.001,0.025,0,0.015625,0,15.625,125294,122586,15043,100,64.6969697,?
titanic,1,6,weka.classifiers.lazy.IBk,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08019E+18,2.02E+07,1983,220,180,40,0,81.81818182,18.18181818,0,0.516324063,0.199201983,0.309501008,68.23541125,81.0787096,199.931131,142.7495584,57.18157259,0.908777868,0.648861629,0.259916239,68.15813599,0.309809709,7421.024239,0,0,0,0,1,220,0,0,0,0,0,0,NaN,NaN,0.818181818,0.374189002,0.625810998,0.181818182,0.848970993,0.818181818,0.79524642,0.581326979,0.786700066,0.800027796,0.748168498,0.818181818,0,0.019,0,0.015625,0,15.625,124734,122586,15043,100,64.24242424,?
titanic,1,7,weka.classifiers.lazy.IBk,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08019E+18,2.02E+07,1983,220,170,50,0,77.27272727,22.72727273,0,0.38485628,0.216388357,0.336524083,74.12249737,88.15783391,199.931131,164.5101638,35.4209672,0.908777868,0.747773472,0.161004396,53.67128555,0.243960389,5843.703106,0,0,0,0,1,220,0,0,0,0,0,0,NaN,NaN,0.772727273,0.447460234,0.552539766,0.227272727,0.79237309,0.772727273,0.739037433,0.44951758,0.739389356,0.752187492,0.676470588,0.772727273,0,0.018,0,0.015625,0,15.625,130334,122586,15043,99.54545455,64.09090909,?
titanic,1,8,weka.classifiers.lazy.IBk,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08019E+18,2.02E+07,1983,220,173,47,0,78.63636364,21.36363636,0,0.419231633,0.205926048,0.320111928,70.53869803,83.85840884,199.931131,150.866923,49.06420791,0.908777868,0.685758741,0.223019127,63.20369702,0.287289532,6881.587368,0,0,0,0,1,220,0,0,0,0,0,0,NaN,NaN,0.786363636,0.433589272,0.566410728,0.213636364,0.818212256,0.786363636,0.753437602,0.49486837,0.768456376,0.780325789,0.693711307,0.786363636,0,0.018,0,0.03125,0,31.25,125110,122586,15043,100,63.93939394,?
titanic,1,9,weka.classifiers.lazy.IBk,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08019E+18,2.02E+07,1983,220,177,43,0,80.45454545,19.54545455,0,0.486650749,0.196155826,0.312682264,67.19196871,81.91209034,199.931131,144.6940096,55.2371214,0.908777868,0.657700043,0.251077825,69.87855837,0.317629811,7608.34298,0,0,0,0,1,220,0,0,0,0,0,0,NaN,NaN,0.804545455,0.380686867,0.619313133,0.195454545,0.820589043,0.804545455,0.782850225,0.535652497,0.802438794,0.810924151,0.734500856,0.804545455,0,0.018,0,0.015625,0,15.625,125094,122586,15043,100,63.18181818,?
titanic,1,10,weka.classifiers.lazy.IBk,"'-K 1 -W 0 -A \""weka.core.neighboursearch.LinearNNSearch -A \\\""weka.core.EuclideanDistance -R first-last\\\""\""'",-3.08019E+18,2.02E+07,1983,220,169,51,0,76.81818182,23.18181818,0,0.369804538,0.215324465,0.339741255,73.75806783,89.00062318,199.931131,170.3870551,29.5440759,0.908777868,0.774486614,0.134291254,55.38980058,0.251771821,6030.814176,0,0,0,0,1,220,0,0,0,0,0,0,NaN,NaN,0.768181818,0.456999287,0.543000713,0.231818182,0.788105384,0.768181818,0.732453568,0.436523761,0.733056054,0.744212319,0.667644184,0.768181818,0,0.019,0,0.03125,0,31.25,130230,122586,15043,99.09090909,64.39393939,?
