Key_Dataset,Key_Run,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureNumRules
titanic,1,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.01704260932E7,1654.0,549.0,434.0,115.0,0.0,79.0528233151184,20.947176684881605,0.0,0.4440041214234762,0.2116697156333865,0.3198546690367752,72.49401099617985,83.81270977294481,498.88952287584766,380.8785867405729,118.01093613527473,0.9087240853840577,0.6937679175602421,0.21495616782381555,147.98921193261518,0.2695614060703373,16077.843887790283,0.0,0.0,0.0,0.0,1.0,549.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.7905282331511839,0.40766874709322887,0.5923312529067712,0.20947176684881602,0.806232110330471,0.7905282331511839,0.764845870932172,0.4970858442048338,0.7724642166299348,0.784511444114682,0.7109957566019858,0.7905282331511839,0.019,0.001,0.015625,0.0,15.625,0.0,8069.0,102517.0,35112.0,100.0,67.15239829993959,?,15.0
titanic,2,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.01704260932E7,1653.0,550.0,443.0,107.0,0.0,80.54545454545455,19.454545454545453,0.0,0.47845583934490143,0.21170208221826184,0.32234776217927474,72.45700511587518,84.38209090497074,500.52076268841387,388.20534244939824,112.31542023901562,0.9100377503425706,0.7058278953625423,0.20420985498002842,146.82759284004283,0.2669592597091688,15959.087210253827,0.0,0.0,0.0,0.0,1.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.8054545454545454,0.397788724504926,0.602211275495074,0.19454545454545455,0.8386765876829302,0.8054545454545454,0.7785535972323303,0.5496798784509898,0.7464141322613596,0.7677500287390118,0.726882468963917,0.8054545454545454,0.012,0.0,0.0,0.0,0.0,0.0,8069.0,102456.0,35173.0,99.81818181818181,65.15151515151538,?,15.0
titanic,3,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.01704260932E7,1652.0,551.0,438.0,113.0,0.0,79.49183303085299,20.508166969147005,0.0,0.439793779185374,0.2099078376560556,0.3166647545930495,71.86555098545315,82.93374639333328,501.0860348524792,378.30218580676177,122.78384904571743,0.9094120414745539,0.6865738399396766,0.22283820153487738,154.9156154952386,0.2811535671419938,16834.26681791686,0.0,0.0,0.0,0.0,1.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.79491833030853,0.4268127786020504,0.5731872213979495,0.20508166969147004,0.838528555345395,0.79491833030853,0.7617423057675803,0.5267162319625035,0.7841063142444977,0.7890737091786606,0.7034601004929393,0.79491833030853,0.029,0.0,0.015625,0.0,15.625,0.0,8069.0,102395.0,35234.0,100.0,67.21113127646734,?,15.0
titanic,4,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.01704260932E7,1653.0,550.0,426.0,124.0,0.0,77.45454545454545,22.545454545454547,0.0,0.37959391601775705,0.21829787852831314,0.3289368379742095,74.71447770175146,86.1069361123611,500.52076268841387,399.9317482402419,100.58901444817195,0.9100377503425706,0.7271486331640762,0.18288911717849446,136.41522139809751,0.24802767526926822,14827.338465393637,0.0,0.0,0.0,0.0,1.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.7745454545454545,0.45945544608828404,0.540544553911716,0.22545454545454546,0.8128013076294408,0.7745454545454545,0.7352656800563778,0.46613353365120247,0.7538661350730941,0.7601887320999022,0.6695736434108528,0.7745454545454545,0.025,0.0,0.015625,0.0,15.625,0.0,7323.0,102456.0,35173.0,99.63636363636364,64.36363636363656,?,9.0
titanic,5,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.01704260932E7,1652.0,550.0,409.0,141.0,0.0,74.36363636363636,25.636363636363637,0.0,0.35421281414985933,0.2187133906385939,0.3347049233558642,74.9297552179497,87.7453487068982,499.45682817344647,408.3056926558492,91.15113551759725,0.9081033239517209,0.7423739866469986,0.16572933730472228,130.29290517888174,0.23689619123433042,14151.98607628032,0.0,0.0,0.0,0.0,1.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.7436363636363637,0.4214964384610406,0.5785035615389594,0.25636363636363635,0.7312024905017118,0.7436363636363637,0.726639130690541,0.36890262299587023,0.7374504705773107,0.7557527364620644,0.6720250707334712,0.7436363636363637,0.041,0.0,0.015625,0.0,15.625,0.0,8069.0,102395.0,35234.0,100.0,66.96969696969727,?,15.0
titanic,6,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.01704260932E7,1651.0,551.0,430.0,121.0,0.0,78.0399274047187,21.960072595281307,0.0,0.4084363326619521,0.21408567404516457,0.3246176442896094,73.29590497977297,85.01658929776785,501.0860348524792,392.9507954531805,108.13523939929871,0.9094120414745539,0.7131593383905273,0.1962527030840267,144.56508399860016,0.2623685735001818,15709.502162238756,0.0,0.0,0.0,0.0,1.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.7803992740471869,0.4337414435203321,0.5662585564796678,0.21960072595281308,0.8019515319739511,0.7803992740471869,0.7490188325959766,0.472749767323446,0.7587734795923773,0.7666218216150122,0.6896092589747529,0.7803992740471869,0.019,0.0,0.015625,0.0,15.625,0.0,8069.0,102334.0,35295.0,99.81851179673322,65.09376890502138,?,15.0
titanic,7,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.01704260932E7,1652.0,551.0,436.0,115.0,0.0,79.12885662431943,20.87114337568058,0.0,0.439173341594017,0.21222938322254745,0.3259884180081022,72.52505317713842,85.13732532243104,510.73291581977435,406.2700716954083,104.46284412436603,0.9269199924133835,0.7373322535306867,0.18958773888269698,150.03543692573405,0.27229661873998917,16407.110406470583,0.0,0.0,0.0,0.0,1.0,550.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0018148820326678765,0.7912885662431942,0.41921853164526407,0.580781468354736,0.20871143375680584,0.8206657158819607,0.7912885662431942,0.7605943700484304,0.5107893894448844,0.740724746461657,0.7549947849491928,0.47072185764765273,0.7912885662431942,0.034,0.001,0.015625,0.0,15.625,0.0,7969.0,102395.0,35234.0,99.45553539019964,65.03327283726583,?,14.0
titanic,8,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.01704260932E7,1651.0,551.0,429.0,122.0,0.0,77.8584392014519,22.141560798548095,0.0,0.40662735682508283,0.21182657674630545,0.32373938122312523,72.52246424537658,84.78657428862662,501.0860348524792,389.7949216534075,111.29111319907167,0.9094120414745539,0.707431799733952,0.20198024174060195,147.7650972904359,0.2681762201278329,16057.23907309458,0.0,0.0,0.0,0.0,1.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.778584392014519,0.4316705142544805,0.5683294857455194,0.22141560798548093,0.7955801566994746,0.778584392014519,0.7484251849206043,0.4653805395933112,0.7625352540550195,0.7732379435767679,0.6896147310874705,0.778584392014519,0.01,0.0,0.0,0.0,0.0,0.0,8069.0,102334.0,35295.0,100.0,66.90865093768936,?,15.0
titanic,9,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.01704260932E7,1653.0,550.0,437.0,113.0,0.0,79.45454545454545,20.545454545454547,0.0,0.45109780439121766,0.20969221029291438,0.32288692795013174,71.76910777045839,84.52323019745943,500.5207626884138,391.2851620452124,109.2356006432014,0.9100377503425706,0.7114275673549316,0.1986101829876389,152.49005332911858,0.2772546424165792,16574.555318269635,0.0,0.0,0.0,0.0,1.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.7945454545454546,0.4088682768240579,0.5911317231759421,0.20545454545454545,0.8191056415969743,0.7945454545454546,0.7670375270491586,0.514495300665064,0.7572102869946291,0.7679526275157896,0.7131331034705586,0.7945454545454546,0.009,0.001,0.0,0.015625,0.0,15.625,8069.0,102456.0,35173.0,99.63636363636364,64.72727272727299,?,15.0
titanic,10,weka.classifiers.rules.DecisionTable,'-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"',2888557078165701326,2.01704260932E7,1654.0,549.0,438.0,111.0,0.0,79.78142076502732,20.218579234972676,0.0,0.4501231693781977,0.2111275731042889,0.31497337983285373,72.30833452211127,82.53364738940006,498.8895228758479,372.1894180140429,126.70010486180502,0.9087240853840581,0.6779406521202966,0.2307834332637614,150.22518356092897,0.27363421413648265,16320.76431630048,0.0,0.0,0.0,0.0,1.0,549.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.7978142076502732,0.41900976077584273,0.5809902392241573,0.20218579234972678,0.8365965394337345,0.7978142076502732,0.7667317864264258,0.5308311439322186,0.7827965122397267,0.7970606298161682,0.7100862524203486,0.7978142076502732,0.011,0.0,0.0,0.0,0.0,0.0,8069.0,102517.0,35112.0,100.0,67.15239829993958,?,15.0
